subject,session,ap_file_exists,pa_file_exists,ap_size_mb,pa_size_mb,ap_dimensions,pa_dimensions,ap_voxel_size,pa_voxel_size,ap_phase_encoding,pa_phase_encoding,ap_total_readout_time,pa_total_readout_time,ap_echo_time,ap_repetition_time,ap_mb_factor,num_b0,num_b1000,num_b2500,num_total_volumes,unique_bvals,num_directions,bvec_norm_ok,issues,abs_motion,rel_motion,outlier_pct,cnr_b1000,cnr_b2500,fba_qc_verdict,fba_qc_notes
sub-122,ses-01,True,False,1.2,,120x120x55,,1.7999999523162842x1.7999999523162842x2.0339999198913574,,j-,,0.0230069,,0.0636,6.5,N/A,1,0,0,1,0,0,no_diffusion_vols,missing_PA_nii; unexpected_AP_readout_time(0.0230069); unexpected_AP_echo_time(0.0636); unexpected_AP_repetition_time(6.5); unexpected_num_volumes(1); unexpected_num_b0(1); unexpected_num_b1000(0); unexpected_num_b2500(0); unexpected_AP_dimensions(120x120x55); unexpected_AP_voxel_size(1.7999999523162842x1.7999999523162842x2.0339999198913574); abnormal_AP_size(1.2MB); bvec_norm_issue,0.55,0.25,0.1,21.37,1.56,pass,
sub-123,ses-01,True,True,105.3,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.34,0.22,0.04,44.25,4.07,pass,
sub-124,ses-01,True,True,105.8,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.74,0.23,0.16,37.03,3.42,pass,
sub-125,ses-01,True,True,104.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,1.04,0.28,0.04,29.6,2.74,pass,
sub-126,ses-01,True,True,107.7,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.49,0.27,0.14,32.36,2.68,pass,
sub-126,ses-02,True,True,107.0,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.61,0.4,0.26,25.37,2.16,pass,
sub-127,ses-01,True,True,101.0,1.1,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.39,0.31,0.06,35.44,2.66,pass,
sub-127,ses-02,True,True,100.9,1.1,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.39,0.31,0.02,37.02,2.94,pass,
sub-128,ses-01,True,True,108.0,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.59,0.32,0.28,26.55,2.03,pass,
sub-129,ses-01,True,True,103.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.68,0.32,0.18,36.02,2.64,pass,
sub-130,ses-01,True,True,102.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,1.12,0.32,0.95,28.27,2.78,pass,
sub-130,ses-02,True,True,102.6,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.97,0.27,0.06,28.31,2.8,pass,
sub-131,ses-01,True,True,102.7,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,1.1,0.3,0.44,27.81,3.0,pass,
sub-132,ses-01,True,True,104.7,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,2.47,0.35,1.09,16.66,2.3,fail,movement artifacts; banding-like artifacts
sub-133,ses-01,True,True,105.9,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.4,0.29,0.04,35.58,2.4,pass,
sub-133,ses-02,True,True,105.4,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.49,0.32,0.0,34.14,2.64,pass,
sub-134,ses-01,True,True,105.8,1.2,120x120x56x97,120x120x55,1.7999999523162842x1.7999999523162842x1.9800000190734863x5,1.7999999523162842x1.7999999523162842x2.0339999198913574,j-,j,0.0289563,0.0230069,0.065,5,2,7,30,60,97,0;1000;2500,90,OK,,0.41,0.29,0.26,38.72,3.23,pass,
